"product_group","product_name","sales_sep_k_rub","cogs_sep_k_rub","margin_sep_k_rub","margin_share_pct","cum_margin_share_pct","abc_category"
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 17,111.76182,81.71770,30.04412,1.12,1.12,A
Овощи и фрукты,Овощи и фрукты 245,160.83899,131.28919,29.54980,1.10,2.21,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 26,55.25862,27.56303,27.69559,1.03,3.24,A
Молочные продукты,Молочные продукты 612,96.49763,70.85009,25.64754,0.95,4.20,A
Овощи и фрукты,Овощи и фрукты 343,102.74872,77.32576,25.42296,0.94,5.14,A
Молочные продукты,Молочные продукты 278,146.76015,122.72590,24.03425,0.89,6.03,A
Овощи и фрукты,Овощи и фрукты 16,54.06024,32.85421,21.20603,0.79,6.82,A
Овощи и фрукты,Овощи и фрукты 259,59.90554,39.20053,20.70501,0.77,7.59,A
Молочные продукты,Молочные продукты 243,58.97160,38.75976,20.21184,0.75,8.34,A
Овощи и фрукты,Овощи и фрукты 264,90.68874,70.62696,20.06178,0.75,9.09,A
Мясо и мясопродукты,Мясо и мясопродукты 86,60.76026,41.27886,19.48140,0.72,9.81,A
Овощи и фрукты,Овощи и фрукты 355,171.72302,152.44557,19.27745,0.72,10.53,A
Молочные продукты,Молочные продукты 236,150.38217,131.61225,18.76992,0.70,11.23,A
Молочные продукты,Молочные продукты 237,57.26163,38.80184,18.45979,0.69,11.91,A
Молочные продукты,Молочные продукты 269,140.62102,122.17591,18.44511,0.69,12.60,A
Овощи и фрукты,Овощи и фрукты 322,87.68401,70.99507,16.68894,0.62,13.22,A
Мясо и мясопродукты,Мясо и мясопродукты 416,61.51219,44.85755,16.65464,0.62,13.84,A
Молочные продукты,Молочные продукты 610,73.53973,57.80427,15.73546,0.58,14.42,A
Молочные продукты,Молочные продукты 288,91.55997,76.20524,15.35473,0.57,14.99,A
Молочные продукты,Молочные продукты 589,46.33661,32.28771,14.04890,0.52,15.51,A
Мясо и мясопродукты,Мясо и мясопродукты 505,148.59379,135.79914,12.79465,0.48,15.99,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 265,63.59456,51.05115,12.54341,0.47,16.46,A
Мясо и мясопродукты,Мясо и мясопродукты 435,33.39618,20.95290,12.44328,0.46,16.92,A
